Kunashak,L6,200000,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12377,55.78333,61.36667,#595843
Liangcheng,Iron; IIIAB,200000,Found,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=14645,40.5,112.5,#4c6465
JaH 055,L4-5,200000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=12119,19.65167,55.69,#837a70
Porto Alegre,Iron; IIIE,200000,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=52091,-30.03306,-51.23,#5b644b
Moshesh,H,200000,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=16756,-30.1,28.71667,#746d5d
Pallasovka,Pallasite; PMG,198000,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=34061,49.86667,46.61167,#3c4c28
Kenton County,Iron; IIIAB,194000,Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=12280,38.81667,-84.6,#334d34
Owens Valley,Iron; IIIAB,192800,Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=18061,37.46667,-118,#877f67
Guanghua,Iron; IVA,190000,Found,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=11434,32.4,111.7,#535e4d
Admire,Pallasite; PMG,180000,Found,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=380,38.7,-96.1,#5d6c51
Travis County (a),H5,175400,Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=24040,30.3,-97.7,#aba896
Iron Creek,Iron; IIIAB,175000,Found,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=12047,53,-112,#4f5644
Tanokami Mountain,Iron; IIIE,174000,Found,1885,http://www.lpi.usra.edu/meteor/metbull.php?code=23872,34.91667,135.96667,#253621
Tamir-Tsetserleg,Stone-uncl,173000,Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23799,47.45,101.47917,#9e9683
Owasco,L6,168400,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=18060,41.2,-103.68333,#565344
Madoc,Iron; IIIAB,168000,Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=15381,44.5,-77.46667,#4f6548
Manlai,Iron; ungrouped,166800,Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=15407,44.33333,106.5,#a6967c
Djati-Pengilon,H6,166000,Fell,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=7652,-7.5,111.5,#4c6253
S?o Juli?o de Moreira,Iron; IIAB,162000,Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=23172,41.76611,-8.58361,#474b3f
Knowles,Iron; IIIAB,161000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12334,36.9,-100.21667,#81806a
Tenham,L6,160000,Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=23897,-25.73333,142.95,#b4865b
